 Date , vix , uvxy 
02/01/19,27.54,"43,000.00"
02/01/19,28.53,"43,240.00"
02/01/19,23.05,"38,715.00"
02/01/19,23.22,"38,960.00"
03/01/19,25.68,"40,155.00"
03/01/19,26.6,"42,977.50"
03/01/19,24.05,"39,950.00"
03/01/19,25.45,"41,650.00"
04/01/19,24.36,"39,125.00"
04/01/19,24.48,"39,605.00"
04/01/19,21.19,"36,591.50"
04/01/19,21.38,"36,770.00"
07/01/19,22.06,"36,200.00"
07/01/19,22.71,"37,050.00"
07/01/19,20.91,"34,792.70"
07/01/19,21.4,"35,475.00"
08/01/19,20.96,"34,569.90"
08/01/19,22.03,"36,375.00"
08/01/19,20.09,"34,240.00"
08/01/19,20.47,"34,400.00"
09/01/19,20.44,"33,960.00"
09/01/19,22.8,"34,375.00"
09/01/19,19.48,"32,570.00"
09/01/19,19.98,"33,260.00"
10/01/19,20.98,"34,050.00"
10/01/19,21.32,"34,709.95"
10/01/19,19.29,"32,665.00"
10/01/19,19.5,"32,710.00"
11/01/19,19.68,"33,430.00"
11/01/19,20.16,"33,515.00"
11/01/19,18.12,"31,025.00"
11/01/19,18.19,"31,025.00"
14/01/19,19.84,"32,350.00"
14/01/19,20.27,"32,409.50"
14/01/19,18.7,"30,485.00"
14/01/19,19.07,"31,180.00"
15/01/19,18.53,"30,990.00"
15/01/19,19.2,"30,990.00"
15/01/19,17.98,"29,060.00"
15/01/19,18.6,"29,130.00"
16/01/19,18.08,"28,705.00"
16/01/19,19.04,"29,975.00"
16/01/19,17.76,"28,515.00"
16/01/19,19.04,"29,920.00"
17/01/19,19.51,"30,310.00"
17/01/19,19.72,"30,370.00"
17/01/19,17.85,"28,825.00"
17/01/19,18.06,"29,485.00"
18/01/19,17.8,"28,250.00"
18/01/19,18.18,"28,925.00"
18/01/19,17.17,"27,580.00"
18/01/19,17.8,"28,425.00"
22/01/19,18.53,"28,920.00"
22/01/19,21.15,"32,800.00"
22/01/19,18.2,"28,790.00"
22/01/19,20.8,"32,250.00"
23/01/19,20.85,"31,330.00"
23/01/19,22.02,"34,760.00"
23/01/19,19.47,"31,260.00"
23/01/19,19.52,"31,750.00"
24/01/19,19.69,"31,900.00"
24/01/19,20.25,"32,525.00"
24/01/19,18.63,"30,075.00"
24/01/19,18.89,"30,230.00"
25/01/19,18.43,"29,170.00"
25/01/19,18.46,"29,490.00"
25/01/19,17.31,"28,335.00"
25/01/19,17.42,"28,485.00"
28/01/19,18.56,"30,060.00"
28/01/19,20.42,"31,640.00"
28/01/19,18.42,"29,991.90"
28/01/19,18.87,"30,305.00"
29/01/19,19.45,"29,685.00"
29/01/19,19.93,"30,846.20"
29/01/19,18.42,"29,335.00"
29/01/19,19.13,"30,070.00"
30/01/19,19.15,"29,431.95"
30/01/19,19.31,"30,175.00"
30/01/19,17.54,"28,059.60"
30/01/19,17.66,"28,140.00"
31/01/19,17.39,"28,065.00"
31/01/19,17.72,"28,070.00"
31/01/19,16.54,"26,380.00"
31/01/19,16.57,"26,445.00"
01/02/19,16.63,"26,290.00"
01/02/19,16.83,"26,620.00"
01/02/19,16.08,"25,775.00"
01/02/19,16.14,"26,015.00"
04/02/19,16.72,"25,835.00"
04/02/19,16.73,"26,109.95"
04/02/19,15.6,"24,602.30"
04/02/19,15.73,"24,770.00"
05/02/19,15.79,"24,470.00"
05/02/19,15.94,"24,760.00"
05/02/19,15.04,"23,640.00"
05/02/19,15.57,"24,505.00"
06/02/19,15.44,"24,225.00"
06/02/19,15.87,"24,695.00"
06/02/19,15.09,"23,810.00"
06/02/19,15.38,"24,225.00"
07/02/19,15.66,"25,375.00"
07/02/19,17.89,"26,980.00"
07/02/19,15.51,"24,815.00"
07/02/19,16.37,"25,465.00"
08/02/19,16.81,"26,360.00"
08/02/19,17.63,"26,735.00"
08/02/19,15.62,"24,980.00"
08/02/19,15.72,"25,000.00"
11/02/19,16.17,"24,520.00"
11/02/19,16.5,"25,185.00"
11/02/19,15.34,"24,250.00"
11/02/19,15.97,"24,635.00"
12/02/19,15.23,"23,750.00"
12/02/19,15.65,"24,195.00"
12/02/19,14.95,"23,515.00"
12/02/19,15.43,"23,970.00"
13/02/19,15.46,"23,680.00"
13/02/19,15.91,"24,265.00"
13/02/19,15,"23,500.00"
13/02/19,15.65,"23,845.00"
14/02/19,15.61,"24,705.00"
14/02/19,17.27,"25,340.00"
14/02/19,15.3,"23,820.00"
14/02/19,16.22,"24,430.00"
15/02/19,16.82,"23,775.00"
15/02/19,16.82,"24,050.00"
15/02/19,14.79,"23,175.00"
15/02/19,14.91,"23,245.00"
19/02/19,15.65,"23,865.00"
19/02/19,16.16,"23,945.00"
19/02/19,14.64,"22,850.00"
19/02/19,14.88,"23,265.00"
20/02/19,14.92,"23,030.00"
20/02/19,15.19,"23,070.00"
20/02/19,13.99,"21,895.00"
20/02/19,14.02,"21,960.00"
21/02/19,14,"22,060.00"
21/02/19,15.17,"22,850.00"
21/02/19,13.85,"21,475.00"
21/02/19,14.46,"22,310.00"
22/02/19,14.46,"21,770.00"
22/02/19,14.47,"21,870.00"
22/02/19,13.51,"21,000.00"
22/02/19,13.51,"21,065.00"
25/02/19,13.91,"20,280.00"
25/02/19,14.9,"21,660.00"
25/02/19,13.44,"20,000.00"
25/02/19,14.85,"21,620.00"
26/02/19,15.16,"22,095.00"
26/02/19,15.28,"22,314.95"
26/02/19,14.52,"21,380.00"
26/02/19,15.17,"21,900.00"
27/02/19,15.53,"22,240.00"
27/02/19,16.17,"23,130.00"
27/02/19,14.7,"21,670.00"
27/02/19,14.7,"21,950.00"
28/02/19,15.17,"22,000.00"
28/02/19,15.24,"22,067.00"
28/02/19,14.39,"21,297.55"
28/02/19,14.78,"21,870.00"
01/03/19,14.57,"21,080.00"
01/03/19,14.84,"21,680.00"
01/03/19,13.41,"20,415.00"
01/03/19,13.57,"20,440.00"
04/03/19,13.77,"20,050.00"
04/03/19,16.98,"22,788.45"
04/03/19,13.38,"19,690.00"
04/03/19,14.63,"21,190.00"
05/03/19,14.52,"21,045.00"
05/03/19,15.39,"21,850.00"
05/03/19,14.26,"20,945.00"
05/03/19,14.74,"21,335.00"
06/03/19,14.91,"21,325.00"
06/03/19,16.11,"22,495.00"
06/03/19,14.74,"21,325.00"
06/03/19,15.74,"22,235.00"
07/03/19,16.33,"22,675.00"
07/03/19,17.81,"24,245.00"
07/03/19,15.54,"22,635.00"
07/03/19,16.59,"23,545.00"
08/03/19,17.38,"24,690.00"
08/03/19,18.33,"25,250.00"
08/03/19,16.02,"23,750.00"
08/03/19,16.05,"23,770.00"
11/03/19,16.28,"23,100.00"
11/03/19,16.43,"23,110.00"
11/03/19,14.33,"21,100.00"
11/03/19,14.33,"21,200.00"
12/03/19,13.97,"20,870.00"
12/03/19,14.7,"21,030.00"
12/03/19,13.61,"20,280.00"
12/03/19,13.77,"20,290.00"
13/03/19,14,"20,115.00"
13/03/19,14.05,"20,284.50"
13/03/19,13.25,"19,730.00"
13/03/19,13.41,"19,985.00"
14/03/19,13.35,"19,995.00"
14/03/19,13.84,"20,070.00"
14/03/19,13.16,"19,405.00"
14/03/19,13.5,"19,500.00"
15/03/19,13.21,"19,335.00"
15/03/19,13.28,"19,445.50"
15/03/19,12.5,"18,565.00"
15/03/19,12.88,"18,895.00"
18/03/19,13.13,"19,155.00"
18/03/19,13.8,"19,595.00"
18/03/19,13,"18,765.00"
18/03/19,13.1,"18,990.00"
19/03/19,12.89,"18,535.00"
19/03/19,13.77,"19,650.00"
19/03/19,12.37,"18,460.00"
19/03/19,13.56,"19,220.00"
20/03/19,13.54,"19,210.00"
20/03/19,14.3,"19,850.00"
20/03/19,13.05,"18,580.00"
20/03/19,13.91,"19,480.00"
21/03/19,14.11,"19,890.00"
21/03/19,14.56,"19,924.70"
21/03/19,13.26,"18,765.00"
21/03/19,13.63,"19,070.00"
22/03/19,13.77,"19,710.00"
22/03/19,17.52,"22,590.00"
22/03/19,13.62,"19,410.00"
22/03/19,16.48,"22,395.00"
25/03/19,17.76,"22,350.00"
25/03/19,17.85,"23,355.00"
25/03/19,16.26,"21,735.00"
25/03/19,16.33,"22,435.00"
26/03/19,16.22,"21,150.00"
26/03/19,16.3,"21,510.00"
26/03/19,14.67,"20,450.00"
26/03/19,14.68,"20,650.00"
27/03/19,14.52,"20,555.00"
27/03/19,16.71,"22,375.00"
27/03/19,14.51,"20,355.00"
27/03/19,15.15,"21,090.00"
28/03/19,15.38,"20,890.00"
28/03/19,15.62,"21,330.00"
28/03/19,14.41,"20,330.00"
28/03/19,14.43,"20,420.00"
29/03/19,14.19,"19,860.00"
29/03/19,14.43,"20,020.00"
29/03/19,13.64,"19,375.00"
29/03/19,13.71,"19,450.00"
01/04/19,13.9,"19,180.00"
01/04/19,14.01,"19,390.00"
01/04/19,13.32,"18,855.00"
01/04/19,13.4,"18,925.00"
02/04/19,13.62,"19,025.00"
02/04/19,13.68,"19,192.50"
